Customer_ID,Customer_Name,Region,Segment
Cust 6583,Aman Iyer,Asia,Home Office
Cust 2144,Riya Kapoor,South America,Consumer
Cust 5998,Ira Nair,North America,Consumer
Cust 7136,Anushka Pillai,Africa,Consumer
Cust 6506,Sneha Rao,Asia,Home Office
Cust 3909,Vivek Patel,Africa,Consumer
Cust 7887,Nisha Yadav,South America,Consumer
Cust 5301,Dev Ghosh,Africa,Consumer
Cust 2284,Manav Joshi,South America,Corporate
Cust 3732,Riya Gupta,Europe,Corporate
Cust 1462,Arjun Reddy,North America,Consumer
Cust 4330,Akash Mishra,Asia,Corporate
Cust 2372,Rohan Roy,Africa,Consumer
Cust 4672,Yash Reddy,Europe,Corporate
Cust 4548,Aman Mukherjee,North America,Home Office
Cust 7037,Karan Mehta,Europe,Home Office
Cust 4975,Siddharth Bhat,Europe,Consumer
Cust 8014,Arjun Desai,Africa,Corporate
Cust 1228,Aman Kulkarni,Asia,Corporate
Cust 4247,Akash Rao,Europe,Home Office
Cust 4199,Komal Mehta,Europe,Home Office
Cust 4186,Aditya Yadav,Africa,Consumer
Cust 8137,Sakshi Desai,North America,Home Office
Cust 4638,Dhruv Sen,Africa,Home Office
Cust 8538,Varun Singh,North America,Consumer
Cust 6322,Varun Bose,Asia,Consumer
Cust 2609,Meera Choudhary,Europe,Consumer
Cust 6880,Swati Pandey,North America,Home Office
Cust 1997,Sakshi Gupta,South America,Consumer
Cust 7072,Ishita Sen,Africa,Corporate
Cust 7201,Ira Ghosh,North America,Home Office
Cust 9923,Shreya Kulkarni,North America,Consumer
Cust 2205,Abhishek Pandey,South America,Consumer
Cust 6403,Kavya Gupta,Africa,Home Office
Cust 3953,Nandini Bansal,North America,Corporate
Cust 7902,Yash Bansal,North America,Home Office
Cust 9968,Manish Sen,Africa,Home Office
Cust 3787,Gaurav Iyer,South America,Corporate
Cust 2469,Preeti Kaur,Africa,Corporate
Cust 6468,Nandini Joshi,Africa,Consumer
Cust 5312,Gaurav Das,South America,Consumer
Cust 1482,Abhishek Nair,Africa,Home Office
Cust 7903,Abhishek Bansal,South America,Consumer
Cust 9605,Tanvi Joshi,Africa,Home Office
Cust 3298,Aarav Bansal,South America,Corporate
Cust 5533,Ananya Iyer,South America,Corporate
Cust 6362,Ishita Singh,Europe,Home Office
Cust 4826,Sneha Reddy,Asia,Consumer
Cust 2171,Manav Yadav,North America,Consumer
Cust 4005,Rishabh Saxena,Europe,Consumer
Cust 7032,Manish Arora,Asia,Corporate
Cust 7167,Meera Yadav,Europe,Home Office
Cust 5702,Aditi Bose,South America,Corporate
Cust 4944,Pallavi Khanna,South America,Consumer
Cust 8149,Siddharth Mehta,Europe,Consumer
Cust 3638,Anushka Sen,Africa,Home Office
Cust 9973,Siddharth Sharma,Asia,Home Office
Cust 4214,Aman Singh,Asia,Consumer
Cust 2647,Rohan Kaur,South America,Home Office
Cust 3552,Ishita Chatterjee,South America,Consumer
Cust 3354,Rajat Verma,Europe,Home Office
Cust 3903,Mohit Kapoor,Africa,Corporate
Cust 5358,Karan Nair,Africa,Home Office
Cust 8144,Nandini Mishra,Africa,Corporate
Cust 6747,Sakshi Singh,South America,Consumer
Cust 8330,Shreya Kaur,Africa,Consumer
Cust 7186,Karan Malhotra,Europe,Corporate
Cust 8287,Rahul Pillai,South America,Corporate
Cust 3986,Sakshi Kapoor,North America,Corporate
Cust 3213,Manya Nair,Europe,Home Office
Cust 1907,Rajat Sharma,Asia,Consumer
Cust 4639,Aditya Agarwal,Africa,Corporate
Cust 4153,Meera Bose,South America,Consumer
Cust 7096,Yash Sharma,South America,Corporate
Cust 3806,Sakshi Bhat,Africa,Home Office
Cust 9345,Gaurav Sen,Africa,Consumer
Cust 4456,Karan Bhat,South America,Consumer
Cust 1089,Anushka Yadav,South America,Home Office
Cust 7230,Priya Ghosh,Asia,Home Office
Cust 6597,Pallavi Joshi,Africa,Home Office
Cust 4108,Sneha Shah,North America,Home Office
Cust 2883,Vikram Kapoor,Asia,Consumer
Cust 5018,Saurabh Kapoor,Europe,Home Office
Cust 1231,Rohan Mukherjee,Asia,Corporate
Cust 2209,Rishabh Ghosh,Asia,Home Office
Cust 6684,Varun Das,Africa,Home Office
Cust 5289,Nisha Sinha,Asia,Corporate
Cust 9159,Shreya Verma,South America,Corporate
Cust 4844,Varun Mehta,North America,Corporate
Cust 3273,Ritika Choudhary,Africa,Consumer
Cust 8160,Rajat Rao,North America,Corporate
Cust 4439,Rahul Mishra,North America,Consumer
Cust 1127,Tanvi Bhat,North America,Corporate
Cust 4696,Rajat Menon,Asia,Home Office
Cust 3014,Pallavi Sharma,Africa,Corporate
Cust 2539,Rishabh Nair,Europe,Corporate
Cust 3916,Kavya Nair,Africa,Consumer
Cust 6329,Riya Bhat,Africa,Consumer
Cust 4384,Nisha Kaur,Europe,Home Office
Cust 7756,Aman Das,North America,Corporate
Cust 6086,Manish Singh,North America,Home Office
Cust 3845,Nandini Chatterjee,Europe,Consumer
Cust 9996,Simran Verma,Asia,Consumer
Cust 1711,Ira Khanna,North America,Home Office
Cust 4522,Nandini Sen,Asia,Consumer
Cust 4233,Vikram Gupta,Europe,Consumer
Cust 4121,Tanvi Ghosh,Africa,Consumer
Cust 9092,Nandini Verma,Asia,Corporate
Cust 9090,Tanvi Kumar,Asia,Consumer
Cust 1983,Komal Kapoor,North America,Corporate
Cust 8834,Preeti Sen,South America,Home Office
Cust 9780,Ira Gupta,South America,Consumer
Cust 1293,Pooja Agarwal,Africa,Consumer
Cust 3173,Ira Kaur,Europe,Home Office
Cust 8641,Ira Kapoor,Asia,Consumer
Cust 7656,Dhruv Nair,Africa,Consumer
Cust 5523,Mohit Jain,Africa,Corporate
Cust 2015,Akash Menon,Europe,Consumer
Cust 6895,Ananya Malhotra,South America,Corporate
Cust 1797,Riya Mehta,Africa,Corporate
Cust 9969,Swati Tiwari,Africa,Home Office
Cust 1815,Rajat Kaur,Africa,Consumer
Cust 7773,Manish Shah,South America,Corporate
Cust 1499,Rohan Nair,Asia,Corporate
Cust 3809,Akash Sinha,North America,Home Office
Cust 7824,Abhishek Iyer,North America,Home Office
Cust 7258,Karan Das,Africa,Home Office
Cust 1151,Nandini Sharma,Asia,Home Office
Cust 6486,Komal Malhotra,Asia,Corporate
Cust 4034,Vikram Kaur,Europe,Corporate
Cust 9794,Rishabh Iyer,North America,Home Office
Cust 2414,Aditi Agarwal,Asia,Corporate
Cust 9024,Dhruv Bhat,Europe,Consumer
Cust 2663,Karan Agarwal,Asia,Home Office
Cust 2293,Ira Shah,South America,Home Office
Cust 8963,Manya Sharma,Africa,Corporate
Cust 9238,Meera Pillai,Europe,Home Office
Cust 1390,Swati Sinha,Africa,Corporate
Cust 8548,Dev Rao,Africa,Corporate
Cust 2919,Ira Joshi,North America,Corporate
Cust 5847,Abhishek Mukherjee,Africa,Consumer
Cust 5711,Manav Kapoor,North America,Consumer
Cust 5461,Karan Gupta,Asia,Consumer
Cust 8905,Ishita Saxena,North America,Consumer
Cust 9618,Sakshi Agarwal,Africa,Consumer
Cust 5203,Nisha Desai,Europe,Corporate
Cust 1732,Ishita Gupta,North America,Consumer
Cust 4734,Preeti Pillai,Europe,Consumer
Cust 5895,Dhruv Arora,Africa,Consumer
Cust 9691,Manya Kapoor,South America,Corporate
Cust 5406,Rahul Roy,North America,Home Office
Cust 5750,Vivek Sinha,North America,Home Office
Cust 0001,Gaurav Tiwari,South America,Home Office
Cust 8280,Dev Joshi,North America,Corporate
Cust 4358,Manish Kapoor,South America,Home Office
Cust 3588,Divya Kapoor,South America,Corporate
Cust 4539,Vikram Bhat,South America,Corporate
Cust 7067,Simran Sinha,South America,Consumer
Cust 7720,Rahul Gupta,South America,Corporate
Cust 5668,Dhruv Gupta,North America,Consumer
Cust 8367,Harsh Agarwal,South America,Home Office
Cust 4438,Priya Rao,South America,Corporate
Cust 3481,Preeti Ghosh,Africa,Home Office
Cust 1489,Yash Saxena,South America,Corporate
Cust 6649,Aditi Desai,North America,Home Office
Cust 6114,Ira Yadav,Asia,Consumer
Cust 9589,Divya Jain,North America,Corporate
Cust 8184,Divya Patel,North America,Corporate
Cust 2490,Rishabh Bose,Europe,Corporate
Cust 1647,Rahul Mukherjee,Africa,Consumer
Cust 2017,Shreya Ghosh,Europe,Home Office
Cust 3446,Ananya Reddy,Europe,Consumer
Cust 4877,Sakshi Shah,South America,Corporate
Cust 9112,Yash Sinha,Asia,Corporate
Cust 8172,Varun Kaur,North America,Corporate
Cust 4597,Manav Agarwal,North America,Consumer
Cust 3690,Mohit Patel,North America,Consumer
Cust 2893,Akash Jain,Africa,Home Office
Cust 5602,Rohan Patel,Asia,Consumer
Cust 5616,Ananya Mukherjee,Asia,Consumer
Cust 1312,Rahul Saxena,North America,Home Office
Cust 6315,Meera Roy,South America,Corporate
Cust 1224,Aditya Bansal,Asia,Home Office
Cust 7182,Nisha Iyer,Europe,Corporate
Cust 7901,Arjun Ghosh,Europe,Corporate
Cust 1736,Saurabh Desai,North America,Home Office
Cust 7795,Anushka Kapoor,South America,Home Office
Cust 2471,Preeti Menon,South America,Consumer
Cust 3068,Saurabh Kumar,Europe,Home Office
Cust 3848,Nandini Kulkarni,Europe,Home Office
Cust 7777,Swati Kaur,Asia,Corporate
Cust 6613,Divya Nair,Asia,Corporate
Cust 2326,Aman Roy,South America,Corporate
Cust 8304,Pooja Arora,South America,Home Office
Cust 3630,Rajat Saxena,Africa,Corporate
Cust 8617,Gaurav Ghosh,Europe,Corporate
Cust 3530,Ishita Reddy,Asia,Corporate
Cust 3884,Ishita Roy,Africa,Home Office
Cust 5739,Rishabh Desai,Europe,Consumer
Cust 9707,Divya Sinha,North America,Corporate
Cust 9288,Meera Mishra,Africa,Corporate
Cust 1216,Riya Bansal,Europe,Home Office
Cust 2489,Aarav Arora,Africa,Consumer
Cust 7171,Ishita Agarwal,Europe,Home Office
Cust 9125,Dhruv Saxena,Africa,Corporate
Cust 9697,Nikhil Jain,Europe,Home Office
Cust 8171,Ishita Menon,Africa,Corporate
Cust 2004,Mohit Sen,Asia,Corporate
Cust 0002,Simran Mishra,Europe,Corporate
Cust 9837,Aditi Das,South America,Consumer
Cust 2082,Gaurav Malhotra,Europe,Consumer
Cust 3001,Manav Shah,Asia,Consumer
Cust 6161,Ira Saxena,Asia,Home Office
Cust 5220,Anushka Arora,South America,Corporate
Cust 3386,Arjun Malhotra,Europe,Consumer
Cust 1591,Tanvi Shah,North America,Consumer
Cust 3434,Rahul Chatterjee,Asia,Consumer
Cust 1501,Manya Bhat,North America,Home Office
Cust 9683,Manav Pandey,Africa,Consumer
Cust 5416,Saurabh Bhat,Africa,Corporate
Cust 2153,Dev Kaur,Europe,Consumer
Cust 3572,Manish Saxena,Europe,Consumer
Cust 6372,Shreya Pandey,Europe,Home Office
Cust 6109,Neha Gupta,North America,Corporate
Cust 5234,Sneha Kapoor,North America,Home Office
Cust 5530,Vivek Bansal,Asia,Consumer
Cust 5398,Preeti Arora,South America,Corporate
Cust 3247,Dev Menon,South America,Corporate
Cust 7137,Aditi Choudhary,Asia,Consumer
Cust 4627,Ritika Nair,Asia,Home Office
Cust 4878,Meera Das,Europe,Consumer
Cust 2779,Ishita Shah,Europe,Consumer
Cust 8606,Aditya Sharma,Europe,Corporate
Cust 9599,Dhruv Bansal,South America,Corporate
Cust 4500,Rohan Jain,Africa,Home Office
Cust 4173,Nikhil Roy,Europe,Home Office
Cust 7607,Siddharth Das,Africa,Home Office
Cust 4768,Karan Pillai,South America,Home Office
Cust 5746,Siddharth Gupta,North America,Consumer
Cust 3002,Vikram Singh,Africa,Corporate
Cust 3237,Vivek Choudhary,North America,Corporate
Cust 6437,Kavya Roy,Africa,Home Office
